trial,seed,n,m,alpha,theta_hat_kent_scaled,theta_hat_dame_scaled,theta_hat_girgis_scaled,theta_hat_kent_orig,theta_hat_dame_orig,theta_hat_girgis_orig,scaled_mse_kent,scaled_mse_dame,scaled_mse_girgis,orig_mse_kent,orig_mse_dame,orig_mse_girgis,time_kent_s,time_dame_s,time_girgis_s,status
0,2159069229,40,88,0.6,0.1990449826483836,-0.28856241767746754,0.1626098460650471,12313.592449307574,7306.108251661248,11939.421814165002,0.9619959522044391,0.24325267433708636,0.8918512928633124,101454623.40933341,25654066.850935813,94056983.13722798,0.0019435882568359375,0.0005943775177001953,0.004659414291381836,ok
1,347351515,40,88,0.6,-0.5252548440461309,-0.07167641766732373,-0.7772040964235736,4875.395379068259,9533.41902876542,2288.002531778111,0.06579948177440657,0.5042313912454749,2.083780313021439e-05,6939386.417015854,53177568.775364615,2197.609526744074,0.0006597042083740234,0.0002536773681640625,0.006749153137207031,ok
2,2681509929,40,88,0.6,-0.250162729236424,-0.06374513138384293,-0.8632848634399561,7700.453852106543,9614.869373253625,1403.9960949033705,0.28260516405060754,0.5155581907232085,0.006644845662607393,29804283.923009805,54372122.84060073,700782.9011838798,0.0010120868682861328,0.0004069805145263672,0.006753683090209961,ok
3,1784591584,40,88,0.6,-0.28774795947102094,-0.10245597575373273,-0.43579423827710356,7314.47233021235,9217.32835699704,5794.111070013284,0.24405672987952923,0.4614661043235806,0.11969849470616707,25738864.66330891,48667429.13318571,12623718.088678073,0.0004942417144775391,0.00034689903259277344,0.004712581634521484,ok
4,2695097668,40,88,0.6,0.3864493499969662,-0.5703241465288824,-0.3477906496092174,14238.141599793844,4412.556177221642,6697.863923838142,1.364733974683674,0.04470890097568295,0.1883371571249746,143928434.56167716,4715118.2924823165,19862531.964207355,0.0014247894287109375,0.0004851818084716797,0.008077144622802734,ok
5,1277456904,40,88,0.6,0.030600546877086465,-0.13663149583560794,-0.8675029704832224,10583.75231615424,8866.362853516224,1360.678244622547,0.6599441843217333,0.41620232274668034,0.00735032386545871,69599449.49676082,43893791.67302432,775184.4880406228,0.0005040168762207031,0.00018906593322753906,0.009072542190551758,ok
6,1873611887,40,88,0.6,-0.16454125886790677,-0.16203671535162412,-0.8306559610278216,8579.743542056032,8605.463951696496,1739.0786082247864,0.38097001120118607,0.384068031116541,0.0023899407580086967,40178099.427649066,40504824.75648926,252049.43848127587,0.0010745525360107422,0.00034689903259277344,0.006096363067626953,ok
7,2047035795,40,88,0.6,0.00798608877240381,-0.0941782640700229,-0.7365560940156488,10351.513138648203,9302.3363171329,2705.4371925062947,0.6237130065531153,0.4727809385677119,0.0020442015039377095,65778414.192227066,49860721.31341458,215586.86736627665,0.0011813640594482422,0.00041222572326660156,0.003082275390625,ok
8,1378856058,40,88,0.6,-0.06479368207691327,-0.3771187336122247,-0.8340729255500925,9604.101281911138,6396.679165169258,1703.988091063325,0.5140535214559973,0.1637417900839634,0.002735706832777717,54213436.46202427,17268639.86409815,288514.83817763504,0.0006287097930908203,0.00019216537475585938,0.004953622817993164,ok
9,3218965466,40,88,0.6,0.051937267573982426,-0.08758620311925691,-0.30747629862435943,10802.869769351013,9370.03348706679,7111.872151277141,0.6950660416894121,0.48188967313413805,0.22495351031277322,73303492.95402157,50821352.41903895,23724188.88155557,0.0004303455352783203,0.00016570091247558594,0.002498626708984375,ok
10,62164594,40,88,0.6,-0.2633365998601267,-0.3245056564027373,0.6924144159135807,7565.1647877364285,6936.989161572089,17380.249844224516,0.2687720920130595,0.2090897111525149,2.1732165688719793,28345411.76149228,22051150.896356974,229193135.4561192,0.00043654441833496094,0.000156402587890625,0.002610921859741211,ok
11,1268433720,40,88,0.6,-0.030624479764610024,0.07343133681755645,0.1687168610554157,9955.001905057337,11023.603113447896,12002.137804608592,0.5642180011712412,0.7313675146402878,0.903423259309941,59503914.43791668,77131941.77337015,95277393.1558542,0.00044345855712890625,0.0002040863037109375,0.003266572952270508,ok
12,2329112794,40,88,0.6,0.2153710721173742,-0.43603309596541107,-0.8913024951176706,12481.253225109374,5791.658120983211,1116.269026389082,0.9942882051313303,0.11953327432390232,0.011997599546675522,104860249.33970165,12606293.51259353,1265298.4048786086,0.0006015300750732422,0.0003380775451660156,0.0045719146728515625,ok
