trial,seed,n,m,alpha,theta_hat_kent_scaled,theta_hat_dame_scaled,theta_hat_kent_orig,theta_hat_dame_orig,scaled_mse_kent,scaled_mse_dame,orig_mse_kent,orig_mse_dame,time_kent_s,time_dame_s,status
0,2159069229,48,11,0.6,-0.36237605002143375,0.16876534988061037,60.25546327297452,110.44832556371767,0.07850106509631384,0.06298141581156577,701.0341365763566,562.4397885512349,0.0008897781372070312,0.0003769397735595703,ok
1,347351515,48,11,0.6,-0.24209616629070485,-0.02338869007790208,71.6219122855284,92.28976878763825,0.02556817998394141,0.003458256742792032,228.33023930159274,30.883097277318484,0.0010898113250732422,0.0003864765167236328,ok
2,2681509929,48,11,0.6,0.08333333333333333,-0.13397807420489816,102.375,81.83907198763713,0.027399839277899386,0.0026814210349097103,244.68741471146086,23.94576019700246,0.0005886554718017578,0.00017333030700683594,ok
3,1784591584,48,11,0.6,0.0,0.09635712190867615,94.5,103.60574802036989,0.006756122373527627,0.031881086913827746,60.33386182619503,284.7060764122097,0.0015368461608886719,0.0004756450653076172,ok
4,2695097668,48,11,0.6,0.3333333333333333,-0.2294827611748196,126.0,72.81387906897955,0.17266432332434797,0.021693497607663516,1541.9355733672585,193.7283570108373,0.0013885498046875,0.0006148815155029297,ok
5,1277456904,48,11,0.6,0.08236395783075133,-0.2639766887032976,102.283394015006,69.55420291753838,0.027079859513490526,0.033044351572894634,241.8299154203485,295.0943206338424,0.0012726783752441406,0.0005023479461669922,ok
6,1873611887,48,11,0.6,-0.1861305194177313,-0.016968718383449877,76.9106659150244,92.89645611276399,0.010802460248906562,0.00425455061993657,96.46867063779786,37.99420067368849,0.0023031234741210938,0.0005533695220947266,ok
7,2047035795,48,11,0.6,0.07452277518532717,-0.4147500040199193,101.54240225501343,55.30612462011763,0.024560660015654927,0.11059240851415282,219.33283410480263,987.6178561335133,0.0010478496551513672,0.0003516674041748047,ok
8,1378856058,48,11,0.6,-0.3609808030213544,0.03322953514359679,60.38731411448201,97.64019107106989,0.07772117004275485,0.01332296984717351,694.0694787743116,118.97745147772106,0.0010652542114257812,0.0003478527069091797,ok
9,3218965466,48,11,0.6,-0.3166698224952546,0.049441178940110644,64.57470177419843,99.17219140984045,0.05497814471431194,0.01732825072100282,490.96857683498473,154.74561100123523,0.00048470497131347656,0.0001742839813232422,ok
